code,name,strategy,resonance_count,action_guide,strategy_list
603577,汇金通,"['one_sun', 'macd_water', 'golden_pit']",3,[one_sun]: 【爆发位】一阳穿三线。次日看高开(1%-3%)，放量突破昨日最高价即是买点。止损设在阳线一半位置。 | [macd_water]: 【强势位】水上金叉/红柱放大。代表多头趋势延续。若股价贴近20日线可回吸，跌破20日线或MACD死叉离场。 | [golden_pit]: 【底部位】黄金坑企稳。属于左侧交易，适合潜伏。今日放量阳线确认坑底，跌破坑底最低价止损。,"one_sun,macd_water,golden_pit"
000061,农 产 品,"['macd_water', 'golden_pit']",2,[macd_water]: 【强势位】水上金叉/红柱放大。代表多头趋势延续。若股价贴近20日线可回吸，跌破20日线或MACD死叉离场。 | [golden_pit]: 【底部位】黄金坑企稳。属于左侧交易，适合潜伏。今日放量阳线确认坑底，跌破坑底最低价止损。,"macd_water,golden_pit"
000561,烽火电子,"['macd_water', 'golden_pit']",2,[macd_water]: 【强势位】水上金叉/红柱放大。代表多头趋势延续。若股价贴近20日线可回吸，跌破20日线或MACD死叉离场。 | [golden_pit]: 【底部位】黄金坑企稳。属于左侧交易，适合潜伏。今日放量阳线确认坑底，跌破坑底最低价止损。,"macd_water,golden_pit"
000708,中信特钢,"['macd_water', 'golden_pit']",2,[macd_water]: 【强势位】水上金叉/红柱放大。代表多头趋势延续。若股价贴近20日线可回吸，跌破20日线或MACD死叉离场。 | [golden_pit]: 【底部位】黄金坑企稳。属于左侧交易，适合潜伏。今日放量阳线确认坑底，跌破坑底最低价止损。,"macd_water,golden_pit"
000821,京山轻机,"['macd_water', 'golden_pit']",2,[macd_water]: 【强势位】水上金叉/红柱放大。代表多头趋势延续。若股价贴近20日线可回吸，跌破20日线或MACD死叉离场。 | [golden_pit]: 【底部位】黄金坑企稳。属于左侧交易，适合潜伏。今日放量阳线确认坑底，跌破坑底最低价止损。,"macd_water,golden_pit"
000881,中广核技,"['macd_water', 'golden_pit']",2,[macd_water]: 【强势位】水上金叉/红柱放大。代表多头趋势延续。若股价贴近20日线可回吸，跌破20日线或MACD死叉离场。 | [golden_pit]: 【底部位】黄金坑企稳。属于左侧交易，适合潜伏。今日放量阳线确认坑底，跌破坑底最低价止损。,"macd_water,golden_pit"
000928,中钢国际,"['macd_water', 'golden_pit']",2,[macd_water]: 【强势位】水上金叉/红柱放大。代表多头趋势延续。若股价贴近20日线可回吸，跌破20日线或MACD死叉离场。 | [golden_pit]: 【底部位】黄金坑企稳。属于左侧交易，适合潜伏。今日放量阳线确认坑底，跌破坑底最低价止损。,"macd_water,golden_pit"
000967,盈峰环境,"['macd_water', 'golden_pit']",2,[macd_water]: 【强势位】水上金叉/红柱放大。代表多头趋势延续。若股价贴近20日线可回吸，跌破20日线或MACD死叉离场。 | [golden_pit]: 【底部位】黄金坑企稳。属于左侧交易，适合潜伏。今日放量阳线确认坑底，跌破坑底最低价止损。,"macd_water,golden_pit"
000978,桂林旅游,"['macd_water', 'golden_pit']",2,[macd_water]: 【强势位】水上金叉/红柱放大。代表多头趋势延续。若股价贴近20日线可回吸，跌破20日线或MACD死叉离场。 | [golden_pit]: 【底部位】黄金坑企稳。属于左侧交易，适合潜伏。今日放量阳线确认坑底，跌破坑底最低价止损。,"macd_water,golden_pit"
002023,海特高新,"['macd_water', 'golden_pit']",2,[macd_water]: 【强势位】水上金叉/红柱放大。代表多头趋势延续。若股价贴近20日线可回吸，跌破20日线或MACD死叉离场。 | [golden_pit]: 【底部位】黄金坑企稳。属于左侧交易，适合潜伏。今日放量阳线确认坑底，跌破坑底最低价止损。,"macd_water,golden_pit"
002051,中工国际,"['macd_water', 'golden_pit']",2,[macd_water]: 【强势位】水上金叉/红柱放大。代表多头趋势延续。若股价贴近20日线可回吸，跌破20日线或MACD死叉离场。 | [golden_pit]: 【底部位】黄金坑企稳。属于左侧交易，适合潜伏。今日放量阳线确认坑底，跌破坑底最低价止损。,"macd_water,golden_pit"
002052,同洲电子,"['one_sun', 'golden_pit']",2,[one_sun]: 【爆发位】一阳穿三线。次日看高开(1%-3%)，放量突破昨日最高价即是买点。止损设在阳线一半位置。 | [golden_pit]: 【底部位】黄金坑企稳。属于左侧交易，适合潜伏。今日放量阳线确认坑底，跌破坑底最低价止损。,"one_sun,golden_pit"
002078,太阳纸业,"['macd_water', 'golden_pit']",2,[macd_water]: 【强势位】水上金叉/红柱放大。代表多头趋势延续。若股价贴近20日线可回吸，跌破20日线或MACD死叉离场。 | [golden_pit]: 【底部位】黄金坑企稳。属于左侧交易，适合潜伏。今日放量阳线确认坑底，跌破坑底最低价止损。,"macd_water,golden_pit"
002090,金智科技,"['macd_water', 'golden_pit']",2,[macd_water]: 【强势位】水上金叉/红柱放大。代表多头趋势延续。若股价贴近20日线可回吸，跌破20日线或MACD死叉离场。 | [golden_pit]: 【底部位】黄金坑企稳。属于左侧交易，适合潜伏。今日放量阳线确认坑底，跌破坑底最低价止损。,"macd_water,golden_pit"
002111,威海广泰,"['macd_water', 'golden_pit']",2,[macd_water]: 【强势位】水上金叉/红柱放大。代表多头趋势延续。若股价贴近20日线可回吸，跌破20日线或MACD死叉离场。 | [golden_pit]: 【底部位】黄金坑企稳。属于左侧交易，适合潜伏。今日放量阳线确认坑底，跌破坑底最低价止损。,"macd_water,golden_pit"
002117,东港股份,"['macd_water', 'golden_pit']",2,[macd_water]: 【强势位】水上金叉/红柱放大。代表多头趋势延续。若股价贴近20日线可回吸，跌破20日线或MACD死叉离场。 | [golden_pit]: 【底部位】黄金坑企稳。属于左侧交易，适合潜伏。今日放量阳线确认坑底，跌破坑底最低价止损。,"macd_water,golden_pit"
002203,海亮股份,"['macd_water', 'golden_pit']",2,[macd_water]: 【强势位】水上金叉/红柱放大。代表多头趋势延续。若股价贴近20日线可回吸，跌破20日线或MACD死叉离场。 | [golden_pit]: 【底部位】黄金坑企稳。属于左侧交易，适合潜伏。今日放量阳线确认坑底，跌破坑底最低价止损。,"macd_water,golden_pit"
002250,联化科技,"['macd_water', 'golden_pit']",2,[macd_water]: 【强势位】水上金叉/红柱放大。代表多头趋势延续。若股价贴近20日线可回吸，跌破20日线或MACD死叉离场。 | [golden_pit]: 【底部位】黄金坑企稳。属于左侧交易，适合潜伏。今日放量阳线确认坑底，跌破坑底最低价止损。,"macd_water,golden_pit"
002293,罗莱生活,"['macd_water', 'golden_pit']",2,[macd_water]: 【强势位】水上金叉/红柱放大。代表多头趋势延续。若股价贴近20日线可回吸，跌破20日线或MACD死叉离场。 | [golden_pit]: 【底部位】黄金坑企稳。属于左侧交易，适合潜伏。今日放量阳线确认坑底，跌破坑底最低价止损。,"macd_water,golden_pit"
002510,天汽模,"['macd_water', 'golden_pit']",2,[macd_water]: 【强势位】水上金叉/红柱放大。代表多头趋势延续。若股价贴近20日线可回吸，跌破20日线或MACD死叉离场。 | [golden_pit]: 【底部位】黄金坑企稳。属于左侧交易，适合潜伏。今日放量阳线确认坑底，跌破坑底最低价止损。,"macd_water,golden_pit"
